Ticker,Sector,Market Cap,Annual Return (%)
CGCL.NS,Financial Services,165518278656,-15.911098034261705
KFINTECH.NS,Technology,200228831232,115.03871001034085
LAURUSLABS.NS,Healthcare,324980211712,50.58755239930319
WELSPUNLIV.NS,Consumer Cyclical,144781066240,12.250952689392536
FIVESTAR.NS,Financial Services,207297085440,-4.607358145887708
MPHASIS.NS,Technology,570909392896,19.821536665103867
AMBER.NS,Consumer Cyclical,235878318080,82.6606245073736
RAYMOND.NS,Consumer Cyclical,102465863680,-12.371764600933377
POLYMED.NS,Healthcare,247767400448,68.75884854525597
TORNTPOWER.NS,Error,Error,Error
PTCIL.NS,Industrials,231851982848,118.49864411905386
GRAPHITE.NS,Industrials,97902911488,-3.055245133764506
HINDUNILVR.NS,Consumer Defensive,5565935255552,-1.6774184131137848
MAHSEAMLES.NS,Basic Materials,87019397120,-32.27863032348123
FSL.NS,Technology,254311907328,92.19301222555659
SAPPHIRE.NS,Consumer Cyclical,97940406272,6.105360830755124
BRITANNIA.NS,Consumer Defensive,1228800131072,0.4998166123878489
LODHA.NS,Real Estate,1096182136832,3.800599904882729
PERSISTENT.NS,Technology,980506902528,50.976963822512
EICHERMOT.NS,Consumer Cyclical,1427213385728,44.813901099695855
GRASIM.NS,Basic Materials,1673378004992,20.71266784017687
CRISIL.NS,Financial Services,389226037248,38.95493862394102
ISEC.NS,Financial Services,261414060032,7.640965124149313
ICICIBANK.NS,Financial Services,8537918930944,22.058617861124176
AUBANK.NS,Financial Services,442499301376,-19.214599164032144
IEX.NS,Financial Services,150637150208,25.854605933551355
TATACONSUM.NS,Consumer Defensive,981889646592,-13.788468698873968
COLPAL.NS,Consumer Defensive,748478201856,11.2089700569582
PGHH.NS,Consumer Defensive,474529988608,-14.5072074747567
BAJAJHLDNG.NS,Financial Services,1256520286208,39.01307498675679
AVANTIFEED.NS,Consumer Defensive,94357168128,36.854363803136
WIPRO.NS,Technology,3347669843968,33.91905209801731
INDIGO.NS,Industrials,1608148582400,43.00980857844152
SUMICHEM.NS,Error,Error,Error
TECHM.NS,Technology,1524210073600,25.766961249783705
POWERGRID.NS,Utilities,2751582437376,24.959757814743643
GODFRYPHLP.NS,Consumer Defensive,225518190592,99.86525698060227
INFY.NS,Technology,7768282497024,14.823798219282969
POLICYBZR.NS,Financial Services,774133841920,83.61773972128503
INDHOTEL.NS,Consumer Cyclical,1112694456320,63.12063887227486
KAYNES.NS,Industrials,360284782592,97.411577531338
NESTLEIND.NS,Consumer Defensive,2128762109952,-11.544176326386246
LTF.NS,Financial Services,348574220288,-12.16942405676381
SIGNATURE.NS,Real Estate,156479537152,1.6002194943927073
COFORGE.NS,Technology,617463218176,46.852800963465114
BHARTIARTL.NS,Communication Services,9844737179648,38.994601532259956
MAPMYINDIA.NS,Technology,90421321728,-19.12993648170057
ITC.NS,Consumer Defensive,5525166620672,-1.6321597841316482
TATAELXSI.NS,Technology,396914720768,-17.167216006357876
JKLAKSHMI.NS,Basic Materials,96354074624,-6.563993210726082
CONCORDBIO.NS,Healthcare,219829567488,48.293359602290884
ACC.NS,Basic Materials,386644049920,-7.844988255328378
INDUSTOWER.NS,Communication Services,970372481024,60.01305374657191
VBL.NS,Consumer Defensive,1831763968000,7.256874290648763
JSWSTEEL.NS,Basic Materials,2275122085888,15.704787803074227
AMBUJACEM.NS,Basic Materials,1359767666688,4.9323731207485455
TCS.NS,Technology,15023576449024,11.131834314763323
HOMEFIRST.NS,Financial Services,89458016256,0.2729466457060292
DIXON.NS,Technology,936339243008,163.34811657262952
KANSAINER.NS,Basic Materials,195756507136,-28.509749293580388
NTPC.NS,Error,Error,Error
BAJAJ-AUTO.NS,Consumer Cyclical,2346925162496,17.426279935430887
TATASTEEL.NS,Basic Materials,1618091311104,-2.068827224978931
TATAPOWER.NS,Utilities,1161186508800,2.2784652043037035
GLAXO.NS,Healthcare,355676389376,-2.7210483438016686
MAHLIFE.NS,Real Estate,61313445888,-28.986725494331942
HDFCLIFE.NS,Financial Services,1336768724992,7.145566891340893
HONAUT.NS,Industrials,368325853184,7.881919718739616
TITAN.NS,Consumer Cyclical,3017859923968,-9.410353655191061
LINDEINDIA.NS,Basic Materials,498422185984,2.1236715267675788
HINDALCO.NS,Basic Materials,1357283459072,8.00302824917669
INDIAMART.NS,Communication Services,125020659712,-14.272637453657222
BERGEPAINT.NS,Basic Materials,559714992128,-14.11014705630248
BIKAJI.NS,Consumer Defensive,172200574976,19.424549534622937
WHIRLPOOL.NS,N/A,N/A,21.290444208101135
GRSE.NS,N/A,N/A,72.89054630374135
BAJFINANCE.NS,N/A,N/A,5.9620872918622725
SBIN.NS,Financial Services,6641256235008,22.37250716339856
SBICARD.NS,Financial Services,721410981888,1.8873035362410473
ENDURANCE.NS,Consumer Cyclical,294048989184,5.277612543681842
MRF.NS,Consumer Cyclical,472821563392,-20.121269943342725
UBL.NS,Consumer Defensive,545956659200,10.57300805023569
AAVAS.NS,N/A,N/A,15.488391592618411
ASAHIINDIA.NS,N/A,N/A,12.36309105109299
JYOTHYLAB.NS,N/A,N/A,-30.726229744414347
AXISBANK.NS,N/A,N/A,-10.37794586444588
EASEMYTRIP.NS,N/A,N/A,-38.11563351950744
BHARTIHEXA.NS,N/A,N/A,62.188576841674625
SANOFI.NS,Healthcare,122859044864,-35.45586976587671
TRIVENI.NS,Consumer Defensive,84396122112,19.29381757530022
INDGN.NS,Healthcare,157630414848,15.396734913283904
LTTS.NS,Technology,574849613824,-0.2603365220791076
MARICO.NS,Consumer Defensive,862102814720,27.37800210059518
DABUR.NS,N/A,N/A,-1.8648033636456174
LTIM.NS,N/A,N/A,8.051292696635649
TORNTPHARM.NS,N/A,N/A,30.92711692605046
GRINFRA.NS,Industrials,123024695296,8.687099426633305
COALINDIA.NS,Energy,2360633720832,6.052167385874285
HUDCO.NS,Financial Services,440097701888,35.11540498044745
PNCINFRA.NS,N/A,N/A,-23.53628439203076
DMART.NS,Consumer Defensive,2331574796288,-3.9648594682616833
IRFC.NS,N/A,N/A,-17.394832923425664
RBLBANK.NS,Financial Services,94650974208,-39.664586657245614
IDEA.NS,Communication Services,676091985920,-36.510065232605015
ASIANPAINT.NS,N/A,N/A,-23.712505126698392
SRF.NS,Basic Materials,765947346944,13.42415960355028
KOTAKBANK.NS,N/A,N/A,5.572366648676996
HCLTECH.NS,Technology,4859107475456,17.69007509169103
SOLARINDS.NS,Basic Materials,857683263488,43.19483230332701
WESTLIFE.NS,Consumer Cyclical,115878797312,-10.637273889659848
PIIND.NS,Basic Materials,531196215296,7.065201771889762
INTELLECT.NS,Technology,122892517376,-2.1826711125139786
JPPOWER.NS,Utilities,110066491392,0.8805113229934269
SHREECEM.NS,Basic Materials,931073359872,-6.350918956099694
KAJARIACER.NS,Industrials,165627330560,-21.283457470931232
GNFC.NS,Basic Materials,81846009856,-21.474428156099613
QUESS.NS,Industrials,90371964928,29.992711386912706
MAZDOCK.NS,Industrials,928197312512,100.56769925397377
GRINDWELL.NS,N/A,N/A,-21.30636974097565
RHIM.NS,Industrials,98005368832,-34.74732172160707
RENUKA.NS,Consumer Defensive,80180215808,-15.53811780777723
ICICIPRULI.NS,Financial Services,853614985216,20.993096776073482
MUTHOOTFIN.NS,Financial Services,872541847552,57.0801820823436
LUPIN.NS,Healthcare,973719535616,47.91657378051231
MARUTI.NS,Consumer Cyclical,3762743934976,20.95213139476413
LICHSGFIN.NS,Financial Services,315351105536,0.6170205153617214
CDSL.NS,Financial Services,313552240640,70.55035649603509
MANAPPURAM.NS,Financial Services,166578372608,15.228231070216026
VEDL.NS,Basic Materials,1728586842112,85.13845096417437
PHOENIXLTD.NS,N/A,N/A,28.52771140243511
SUNPHARMA.NS,Healthcare,4372059127808,33.01488095238094
CHOLAHLDNG.NS,Financial Services,267873271808,31.453326485246347
TRIDENT.NS,Consumer Cyclical,156645212160,-31.603365854707544
TATACOMM.NS,N/A,N/A,-4.8820133144975575
JBCHEPHARM.NS,Healthcare,276970897408,5.801706776167825
HONASA.NS,Consumer Defensive,79208333312,-49.308801103543054
JKCEMENT.NS,Basic Materials,367479816192,15.068777818142088
CIEINDIA.NS,Consumer Cyclical,173197705216,-5.35133190961824
NBCC.NS,N/A,N/A,30.598358842912997
IOC.NS,N/A,N/A,-6.851139298523945
BAJAJFINSV.NS,Financial Services,2756965302272,6.721204229416777
ASTERDM.NS,Healthcare,247120314368,50.452852191377026
ADANIPORTS.NS,Industrials,2363517304832,-1.9414189468529686
RADICO.NS,Consumer Defensive,295878852608,32.790809715290536
PAGEIND.NS,Consumer Cyclical,517487984640,29.300593366983406
SHRIRAMFIN.NS,Financial Services,991759040512,21.853755459312673
SCI.NS,Industrials,91110326272,2.598337614922208
DALBHARAT.NS,Basic Materials,338170281984,-15.919153134768083
SBILIFE.NS,N/A,N/A,2.299621474936031
IRCTC.NS,Industrials,629999992832,-18.108919250230493
BHARATFORG.NS,Consumer Cyclical,581619154944,0.674732313821802
ICICIGI.NS,Financial Services,899171614720,21.14734737262216
VINATIORGA.NS,Basic Materials,176273670144,0.17370076623510755
ULTRACEMCO.NS,Basic Materials,3252593098752,13.635735672929329
NUVOCO.NS,N/A,N/A,5.298707166939942
J&KBANK.NS,Financial Services,99590725632,-29.47893729321811
SKFINDIA.NS,Industrials,204784549888,-8.879036361368996
BEML.NS,Industrials,151467294720,15.74967779470169
HAPPSTMNDS.NS,Technology,106062168064,-17.934051713665
LLOYDSME.NS,Basic Materials,719325888512,133.39204577001135
360ONE.NS,Financial Services,437743484928,85.3282503315503
CGPOWER.NS,Industrials,949553135616,38.50137594238874
YESBANK.NS,Financial Services,572190621696,-26.15384936147066
HDFCBANK.NS,Financial Services,12618166173696,14.865636438087781
BALAMINES.NS,Basic Materials,54441742336,-29.326617187383654
ADANIPOWER.NS,Utilities,1985935966208,-0.9808705647386451
USHAMART.NS,N/A,N/A,-5.454833036366358
HEROMOTOCO.NS,Consumer Cyclical,810379968512,-6.4345472399328525
KSB.NS,Industrials,117946548224,3.514501615569676
ALKYLAMINE.NS,Basic Materials,89058459648,-22.92023507750556
MINDACORP.NS,Consumer Cyclical,133616082944,43.440369330884906
LT.NS,Industrials,4755474612224,-2.8924433142824113
JINDALSTEL.NS,Basic Materials,893199319040,25.250977454677702
SAIL.NS,Basic Materials,446922752000,-4.504881930515703
GODREJCP.NS,Consumer Defensive,1156359258112,-1.3675022855792252
BEL.NS,Industrials,1974737043456,44.191320235601815
UPL.NS,Basic Materials,439293181952,1.320453057734161
MMTC.NS,Industrials,103830192128,-8.552546054463484
DOMS.NS,Industrials,137125765120,59.32099986908472
MOTHERSON.NS,Consumer Cyclical,1006120534016,30.568977980349565
NYKAA.NS,Consumer Cyclical,478740086784,3.0286231218045856
TANLA.NS,Technology,82035548160,-41.24177466036225
JSWENERGY.NS,Utilities,949634334720,11.690457209251303
JSL.NS,Basic Materials,522140123136,15.92113060518896
TIMKEN.NS,Industrials,215275864064,-14.695797051975113
CEATLTD.NS,Consumer Cyclical,119323746304,3.7429595788665004
BATAINDIA.NS,Consumer Cyclical,164689346560,-11.324969053595469
TVSMOTOR.NS,Consumer Cyclical,1077982986240,13.929760283893833
AIAENG.NS,Industrials,338286444544,-4.560826500157189
STARHEALTH.NS,Financial Services,267746705408,-18.34484243375335
NAUKRI.NS,Communication Services,963476979712,48.77321942013051
ZENSARTECH.NS,Technology,188783968256,47.75956663355987
NATIONALUM.NS,Basic Materials,373203206144,55.91890291963726
HINDZINC.NS,Basic Materials,1971323011072,58.270243476516214
BLUEDART.NS,Industrials,154287112192,-5.145668653362279
APLAPOLLO.NS,Basic Materials,433327538176,4.354024698581727
FEDERALBNK.NS,Financial Services,461714128896,33.0709150132078
IREDA.NS,Financial Services,523817943040,20.48222867561824
TATAINVEST.NS,Financial Services,309524004864,35.31762861361538
GUJGASLTD.NS,Utilities,340580958208,-12.335868705562902
GVT&D.NS,Industrials,451500474368,177.78040284985823
CANBK.NS,Financial Services,877585432576,9.371072279670557
FACT.NS,Basic Materials,617047588864,15.955314578540026
APTUS.NS,Financial Services,140947554304,-21.62814005399688
DIVISLAB.NS,Healthcare,1529791643648,59.12965883639267
IDFCFIRSTB.NS,Financial Services,455861862400,-21.77135470924866
MFSL.NS,Financial Services,359298826240,16.468879826548633
BIRLACORPN.NS,Basic Materials,90127056896,-16.018694628538064
BANKINDIA.NS,Financial Services,447846187008,-24.438561509752766
BANDHANBNK.NS,Financial Services,239760670720,-33.16772335557713
RELIANCE.NS,Energy,16865430601728,-6.945961213607344
AFFLE.NS,Communication Services,215871750144,25.55519166573148
CANFINHOME.NS,Financial Services,90904240128,-7.361889972462055
NAVINFLUOR.NS,Basic Materials,183951998976,8.817439258025829
RAINBOW.NS,Healthcare,147341819904,18.650399923562055
COROMANDEL.NS,Basic Materials,534336208896,58.39410265492382
NSLNISP.NS,Basic Materials,116989763584,-27.032964714328767
SYRMA.NS,Technology,82040201216,-22.301456194550262
NH.NS,Healthcare,265116581888,5.560536841703123
PFIZER.NS,Healthcare,215652384768,12.115000511557783
MAHABANK.NS,Financial Services,382039392256,-5.547120524093396
BALRAMCHIN.NS,Consumer Defensive,96347627520,24.789564638825933
CUB.NS,Financial Services,124233711616,20.836556938181893
LALPATHLAB.NS,Healthcare,235784388608,17.940643344616802
PEL.NS,Financial Services,222614519808,15.405941841781923
BSE.NS,Financial Services,790507945984,177.81017508376107
CAMS.NS,Technology,202617307136,52.07308949768035
HINDCOPPER.NS,Basic Materials,234068164608,-11.292758927406076
COCHINSHIP.NS,Industrials,383861227520,72.7609581101864
NUVAMA.NS,Financial Services,200868495360,69.44172220816773
DEEPAKFERT.NS,Basic Materials,147685326848,84.7171613610554
LEMONTREE.NS,Consumer Cyclical,107406262272,-2.029611860261893
EIDPARRY.NS,Basic Materials,145656872960,38.61754187695532
CHOLAFIN.NS,Financial Services,1028373544960,-1.6682359744223496
SAMMAANCAP.NS,Financial Services,112938164224,-6.680331121035432
KPRMILL.NS,Consumer Cyclical,318980849664,24.977288447425682
SBFC.NS,Financial Services,95501967360,2.5116321652434603
IRB.NS,Industrials,313665650688,6.358667365425896
ELGIEQUIP.NS,Industrials,171177820160,-5.735389396439194
SUNTV.NS,Communication Services,252391735296,1.6284756803224942
ASHOKLEY.NS,Industrials,600666537984,24.33831822481092
JKTYRE.NS,Consumer Cyclical,93797040128,-29.683014281327726
CONCOR.NS,Industrials,459864571904,-9.128607305565096
ONGC.NS,Energy,3226972717056,14.66541414875051
RAJESHEXPO.NS,Consumer Cyclical,58210508800,-44.51949049944483
BANKBARODA.NS,Financial Services,1164641959936,1.2450801239167086
BRIGADE.NS,Real Estate,252447047680,8.647171074525462
ASTRAL.NS,Industrials,394450206720,-19.50098563204391
FINPIPE.NS,Industrials,129103962112,-8.523032427725475
DBREALTY.NS,Real Estate,88609800192,-33.88509377503922
